"area_code","area","nb_incidents","total_nb_units_deployed","total_service_duration_hrs","avg_hourly_cost"
"E09000028","Southwark","34","34","43","260.00"
"E09000022","Lambeth","28","27","31","260.00"
"E09000016","Havering","28","29","37","260.00"
"E09000031","Waltham Forest","28","33","49","260.00"
"E09000030","Tower Hamlets","28","29","36","260.00"
"E09000019","Islington","27","27","30","260.00"
"E09000003","Barnet","26","27","35","260.00"
"E09000006","Bromley","25","25","29","260.00"
"E09000010","Enfield","25","26","33","260.00"
"E09000009","Ealing","25","26","28","260.00"
"E09000025","Newham","23","23","27","260.00"
"E09000008","Croydon","23","23","25","260.00"
"E09000023","Lewisham","22","22","23","260.00"
"E09000017","Hillingdon","22","23","29","260.00"
"E09000005","Brent","19","19","21","260.00"
"E09000033","Westminster","19","20","22","260.00"
"E09000012","Hackney","19","19","20","260.00"
"E09000007","Camden","19","19","21","260.00"
"E09000014","Haringey","19","19","21","260.00"
"E09000018","Hounslow","16","15","18","260.00"
"E09000026","Redbridge","15","15","16","260.00"
"E09000002","Barking And Dagenham","15","15","19","260.00"
"E09000013","Hammersmith And Fulham","14","14","14","260.00"
"E09000011","Greenwich","14","14","16","260.00"
"E09000029","Sutton","14","14","19","260.00"
"E09000020","Kensington And Chelsea","14","14","16","260.00"
"E09000021","Kingston Upon Thames","11","11","15","260.00"
"E09000024","Merton","11","11","11","260.00"
"E09000032","Wandsworth","9","10","11","260.00"
"E09000004","Bexley","9","9","11","260.00"
"E09000027","Richmond Upon Thames","9","9","9","260.00"
"E09000015","Harrow","7","7","7","260.00"
"E09000001","City Of London","3","3","4","260.00"
